"","Player","Team","Position","GP","TOI","TOI/GP","CF/60 Rel","CA/60 Rel","CF% Rel","FF/60 Rel","FA/60 Rel","FF% Rel","SF/60 Rel","SA/60 Rel","SF% Rel","GF/60 Rel","GA/60 Rel","GF% Rel","xGF/60 Rel","xGA/60 Rel","xGF% Rel","SCF/60 Rel","SCA/60 Rel","SCF% Rel","HDCF/60 Rel","HDCA/60 Rel","HDCF% Rel","HDGF/60 Rel","HDGA/60 Rel","HDGF% Rel","MDCF/60 Rel","MDCA/60 Rel","MDCF% Rel","MDGF/60 Rel","MDGA/60 Rel","MDGF% Rel","LDCF/60 Rel","LDCA/60 Rel","LDCF% Rel","LDGF/60 Rel","LDGA/60 Rel","LDGF% Rel","On-Ice SH%","On-Ice SV%","PDO","Off. Zone Starts/60","Neu. Zone Starts/60","Def. Zone Starts/60","On The Fly Starts/60","Off. Zone Start %","Off. Zone Faceoffs/60","Neu. Zone Faceoffs/60","Def. Zone Faceoffs/60","Off. Zone Faceoff %"
"186","Kurtis MacDermid","OTT","L","17","65.683333333333","3.8637254901961","-28.83","29.07","-26.42","-20.98","17.94","-26.42","-18.62","5.75","-30.77","-2.31","2.76","-47.40","-1.79","0.94","-33.22","-17.58","8.36","-30.05","-8.77","3.38","-35.87","-2.04","0.96","-70.27","-11.75","6.64","-26.24","0.48","3.13","-33.33","-12.26","22.36","-17.43","-0.91","-0.8","-53.33","10.00","83.87","0.939","19.18","17.36","2.74","73.99","87.50","22.84","22.84","11.88","65.79"
"745","Shane Lachance","N.J","L","1","7.4166666666667","7.4166666666667","-22.45","28.9","-19.57","-5.07","11.18","-8.80","-7.88","21.8","-22.37","-1.34","-2.67","-","-1.05","-0.13","-11.78","-15.97","11.04","-28.33","-10.69","1.47","-42.11","0","-2.67","-","-7.04","12.75","-22.62","0","0","-","-3.46","14.22","-6.26","-1.93","0","-100.00","0.00","100.00","1.000","16.18","16.18","0","48.54","100.00","24.27","24.27","8.09","75.00"
"704","Tristan Broz","PIT","C","1","11.5","11.5","-7.94","27.26","-14.76","-7.9","22.07","-16.51","-2.66","23.42","-18.75","-3.92","3.91","-75.00","-0.73","0.88","-19.31","3.87","-0.07","5.05","-7.85","3.88","-40.00","-2.62","5.22","-100.00","15.62","-5.27","27.78","-1.74","-1.74","-50.00","-5.74","37.59","-20.15","0","0","-","0.00","88.89","0.889","10.43","5.22","0","62.61","100.00","20.87","10.43","5.22","80.00"
"568","Arthur Kaliyev","OTT","R","2","18.9","9.45","40.34","27.15","2.74","26.89","23.47","0.55","19.31","24.68","-4.48","-2.2","-5.12","-","2.51","2.72","-0.69","15.65","17.11","-1.47","18.08","14.42","10.00","-0.73","-2.93","-","-3.24","3.6","-8.14","-1.95","-2.93","-40.00","34.6","29.31","-0.57","0","0","-","0.00","100.00","1.000","15.87","12.7","6.35","41.27","71.43","19.05","15.87","19.05","50.00"
"825","Xavier Parent","N.J","C","5","42.766666666667","8.5533333333333","-6.39","27.01","-13.33","-4.34","18.78","-12.89","-8.13","12.4","-18.36","-2.07","1.62","-63.64","-1.75","1.89","-35.47","-16.33","9.97","-28.76","-8.75","6.25","-40.33","-0.89","1.4","-100.00","-10.11","4.96","-20.85","-1.58","0.69","-57.14","21.93","15.34","1.70","0","-0.43","0.00","0.00","92.59","0.926","7.01","4.21","8.42","58.92","45.45","18.24","8.42","19.64","48.15"
"376","Riley Tufte","BOS","L","4","41.55","10.3875","7.61","26.23","-6.05","14.63","12.74","1.52","17.72","-5.09","18.65","-1.59","-0.95","-40.00","0.89","0.32","5.91","3.13","10.2","-5.23","2.79","-0.15","7.06","-0.4","0.25","-25.00","0.46","13.81","-14.19","-1.06","-1.59","-40.00","-6.84","31.85","-15.57","-0.58","0","-100.00","0.00","94.44","0.944","1.44","10.11","8.66","51.99","14.29","7.22","14.44","23.1","23.81"
"688","Daniil Miromanov","CGY","D","1","16.266666666667","16.266666666667","-44.42","24.66","-29.32","-41.73","21.44","-36.59","-23.07","11.1","-30.89","7.38","5.66","50.00","-2.56","1.38","-47.80","-23.32","21.41","-45.89","-10.07","7.88","-46.67","3.69","3.69","-","-17.67","18.05","-45.59","0","2.63","0.00","-48.22","36.3","-35.66","5.33","0","100.00","50.00","80.00","1.300","3.69","11.07","22.13","66.39","14.29","7.38","18.44","40.57","15.38"
"752","Marc McLaughlin","N.J","C","3","21.083333333333","7.0277777777778","-17.4","23.29","-19.14","-21.27","8.93","-21.82","-24.15","16.54","-48.60","-1.96","-2.45","-","-2.35","2.47","-44.81","-26.6","11.07","-42.13","-10.36","12.18","-58.69","-0.98","-0.49","-","-21.65","-1.49","-35.06","-0.65","-2.61","-20.00","0.69","8.6","-5.42","-0.71","0","-100.00","0.00","100.00","1.000","8.54","14.23","2.85","68.3","75.00","11.38","14.23","5.69","66.67"
"765","Isaiah George","NYI","D","3","35.483333333333","11.827777777778","-12.79","20.53","-15.36","-6.63","5.25","-8.30","0.65","5.75","-3.97","4.51","0.58","43.33","-0.43","-0.03","-5.46","-6.12","3.49","-12.39","-4.47","3.42","-21.30","3.38","1.7","50.00","-2.21","0.09","-4.95","-0.75","-0.75","-50.00","-3.9","14.02","-9.55","2.44","-0.81","100.00","25.00","89.47","1.145","3.38","13.53","10.15","60.87","25.00","8.45","21.98","21.98","27.78"
"569","Domenick Fensore","CAR","D","1","18.1","18.1","-36.2","19.64","-25.72","-25.39","7.76","-22.73","-18.36","4.39","-25.45","-3.77","2.86","-50.00","-1.72","2.39","-31.01","-18.82","11.48","-28.13","-8.01","16.63","-36.15","0","6.63","-","-14.41","-6.87","-7.89","-5.03","-5.03","-50.00","-21.65","0.89","-11.55","0","0","-","0.00","81.82","0.818","13.26","26.52","3.31","36.46","80.00","19.89","39.78","16.57","54.55"
"804","Georgii Merkulov","BOS","C","1","10.583333333333","10.583333333333","-6.27","19.2","-10.34","4.75","17.64","-4.97","-2.56","3.27","-5.56","-2.8","2.87","-50.00","0.63","-0.78","11.17","-8.07","-2.4","-5.56","-1.24","-2.64","2.63","-1.4","-1.4","-","-9.11","0.32","-12.00","-1.86","5.7","-50.00","0.46","31.2","-15.15","0","0","-","0.00","83.33","0.833","11.34","11.34","0","56.69","100.00","17.01","17.01","5.67","75.00"
"571","Ryan Johnson","BUF","D","3","26.116666666667","8.7055555555556","-2.86","18.45","-7.91","-0.47","8.79","-4.80","-5.4","1.56","-5.94","0.62","-1.61","20.00","1.8","0.95","7.53","10.35","7.76","4.60","17.46","10.01","9.62","1.74","0.07","30.00","-9.49","-3","-16.21","-0.74","-2.23","-25.00","-35.57","-4.09","-20.26","-0.81","0","-100.00","9.09","93.33","1.024","2.3","13.78","13.78","43.65","14.29","6.89","16.08","20.68","25.00"
"673","Rory Kerins","CGY","C","2","28.85","14.425","27.73","17.82","1.72","22.74","14.38","0.70","19.32","14.6","-5.14","-2.33","1.3","-75.00","2.39","-0.96","27.35","25.03","-5.91","22.54","8.36","-7.25","33.77","-0.78","-0.78","-","22.23","1.79","18.18","0","2.77","0.00","-8.06","21.9","-14.33","-2.25","0","-100.00","0.00","92.31","0.923","6.24","10.4","6.24","47.83","50.00","20.8","12.48","12.48","62.50"
"468","Olle Lycksell","OTT","R","7","67.683333333333","9.6690476190476","-13.8","17.81","-14.44","-15.23","10.39","-17.21","-4.72","7.7","-11.81","-0.21","1.57","-12.50","-1.11","0.32","-16.77","-0.69","10.97","-11.45","-3.24","1.16","-11.63","0.58","0.82","-5.56","3.4","13.09","-11.84","-0.41","-0.18","-5.13","-30.07","8.06","-20.90","-0.69","1.28","-100.00","11.11","85.29","0.964","10.64","11.52","0.89","59.39","92.31","12.41","15.07","5.32","70.00"
"179","Matthew Benning","TOR","D","1","12.35","12.35","-11.18","17.33","-12.87","-10.27","-9.64","-1.30","4.58","1.77","3.33","-4.22","-4.22","-","1.94","-1","31.21","-1.05","3.17","-4.55","8.94","-3.59","35.00","-2.82","-1.41","-","-13.33","9.02","-27.54","-1.88","-1.88","-50.00","-16.67","15.27","-16.33","0","-2.03","0.00","0.00","100.00","1.000","0","19.43","9.72","68.02","0.00","4.86","24.29","19.43","20.00"
"370","Patrik Laine","MTL","L","5","49.133333333333","9.8266666666667","-20.3","17.24","-18.45","-22.95","6.93","-25.23","-19.76","4.35","-33.18","-2.04","0.48","-29.17","-1.54","-0.34","-17.39","-12.75","5.57","-20.62","-5.64","-0.26","-15.48","-0.08","-1.63","55.56","-9.49","7.78","-22.90","-1.74","1.63","-100.00","-14.67","11.79","-15.96","-0.94","1.29","-66.67","16.67","90.91","1.076","3.66","8.55","7.33","50.07","33.33","4.88","15.88","18.32","21.05"
"720","Brennan Othmann","CGY, NYR","L","19","181.96666666667","9.5771929824561","-5.81","16.05","-8.83","-5.73","8.82","-8.57","-4.78","6.2","-10.04","-0.3","2.09","-15.94","-0.14","1.15","-10.49","0.56","10.96","-8.20","0.18","3.57","-6.19","-0.15","0.59","-11.43","0.51","9.85","-9.75","0.23","1.99","-20.00","-15.22","1.79","-9.66","-0.47","0.01","-33.33","11.29","85.44","0.967","6.59","13.19","6.59","63.31","50.00","11.54","18.14","15.17","43.21"
"473","Sheldon Dries","DET","C","5","31.083333333333","6.2166666666667","-27.89","15.93","-21.45","-21.56","11.72","-21.77","-14.48","8.29","-24.13","-2.6","-2.02","-","-2.02","1.19","-32.87","-17.96","-2.61","-24.58","-8.92","8.63","-34.88","-2.02","-1.15","-","-12.05","-14.98","-14.18","0","-0.38","0.00","-16.01","23.03","-19.44","-0.83","-0.83","-50.00","0.00","100.00","1.000","7.72","7.72","9.65","63.7","44.44","9.65","11.58","15.44","38.46"
"420","Dominik Shine","DET","R","16","108.06666666667","6.7541666666667","-11.36","15.64","-11.62","-8.42","14.04","-12.86","-3.97","9.14","-11.59","-0.7","-0.05","-8.12","-0.81","1.16","-17.47","-6.25","1.33","-8.60","-2.77","2.07","-10.70","-0.45","-0.25","-8.97","-4.64","-0.99","-6.80","0.39","-0.11","10.42","-10.96","14.5","-12.94","-0.79","0.41","-66.67","7.32","93.55","1.009","7.22","9.99","5.55","63.29","56.52","11.1","14.99","13.88","44.44"
"525","Alexander Romanov","NYI","D","15","245.31666666667","16.354444444444","-8.07","15.63","-10.27","-4.36","15.73","-12.13","-3.52","13.67","-15.72","-0.65","1.17","-18.48","-0.85","1.78","-21.68","-6","11.69","-15.53","-4.18","7.78","-23.88","-0.7","1.39","-36.27","-2.44","5.22","-9.00","-0.91","-0.11","-26.67","-3.48","6.23","-5.12","1.06","-0.19","100.00","6.25","90.21","0.965","6.85","7.83","4.65","51.61","59.57","21.77","15.9","14.67","59.73"
"22","Evgenii Dadonov","N.J","L","23","226.13333333333","9.831884057971","-7.88","15.55","-9.94","-7.84","10.62","-10.82","-5.09","5.97","-10.47","-1.66","-0.91","-17.43","-0.68","0.62","-12.68","-4.63","5.93","-9.70","-1.43","2.28","-8.24","-1.22","-0.62","-26.94","-4.26","4.87","-10.71","-0.24","0.21","-10.67","-5.42","8.5","-7.08","-0.37","-0.65","-36.36","3.53","93.04","0.966","10.61","10.35","6.37","54.66","62.50","15.65","13.8","16.19","49.17"
"35","Travis Hamonic","DET","D","25","310.08333333333","12.403333333333","-6.93","14.81","-9.08","-6.01","10.55","-9.83","-6.1","7.16","-12.22","-0.63","1.49","-22.00","-0.64","0.25","-8.62","-4.04","7.53","-10.12","-3.75","-1.87","-5.01","-0.09","0.42","-10.02","-0.39","12.54","-12.71","-0.45","0.58","-27.82","-4.13","9.25","-6.73","-0.3","0.93","-55.00","5.69","88.75","0.944","5.61","11.42","8.32","59.6","40.28","16.06","17.41","19.54","45.11"
"861","Cole McWard","NYI","D","3","41.2","13.733333333333","-15.42","14.47","-13.20","-2.78","9.83","-6.83","2.37","14.96","-9.46","-0.81","2.39","-30.91","0.21","1.45","-8.15","-5.33","5.41","-10.23","5.01","8.57","1.67","0.42","2.91","-66.67","-13.79","-4.21","-16.64","0.43","-0.69","16.67","-20.71","7.39","-16.23","-2.25","0","-100.00","16.67","92.59","1.093","2.91","11.65","5.83","48.06","33.33","5.83","18.93","13.11","30.77"
"165","Chandler Stephenson","SEA","C","75","1024.2833333333","13.657111111111","-4.56","14.3","-7.62","-3.52","11.92","-8.60","-1.93","7.74","-8.38","-0.37","0.37","-8.12","-0.5","1.04","-13.95","-2.8","8.83","-10.54","-2.28","4.6","-14.67","-0.25","0.35","-12.35","-0.7","5.65","-7.57","-0.03","0.06","-2.63","-2.45","18.24","-8.99","-0.14","-0.03","-4.76","8.79","92.41","1.012","8.08","13.77","16.64","41.24","32.70","13.82","17.81","30.11","31.47"
"893","Mikulas Hovorka","FLA","D","3","38.5","12.833333333333","-30.66","13.78","-21.11","-29.17","8.92","-27.85","-21.07","0.9","-24.49","-1.1","1.98","-18.46","-2.12","-0.22","-24.79","-10.58","4.02","-14.39","-9.09","5.96","-40.45","-1.6","2.01","-37.50","-1.98","-2.59","1.15","1.37","0.66","16.67","-35.92","0.31","-23.04","-0.77","-0.77","-50.00","12.50","77.78","0.903","7.79","17.14","6.23","49.87","55.56","14.03","26.49","15.58","47.37"
"89","Erik Gudbranson","CBJ","D","33","480.73333333333","14.567676767677","-15.51","13.35","-12.48","-11.95","10.11","-13.38","-6.47","6.95","-12.64","-0.99","-0.08","-8.48","-0.91","0.86","-17.22","-9.68","6.34","-15.27","-3.92","3.99","-18.77","-0.07","0.63","-18.35","-7.67","3.14","-12.73","-1.3","-0.37","-20.56","-11.14","12.48","-11.79","0.08","-0.54","23.60","9.34","93.47","1.028","4.37","12.11","8.36","47.93","34.31","12.61","18.1","19.22","39.61"
"855","Aydar Suniev","CGY","L","1","10.083333333333","10.083333333333","-36.51","13.35","-29.23","-35.8","20","-53.35","-26.29","14.29","-62.96","-3.09","-4.64","-","-2.97","-0.95","-41.45","-18.79","5.01","-33.33","-15.46","1.08","-58.82","-1.55","-4.64","-","-4.44","5.24","-15.00","-2.06","0","-100.00","-23.36","-2.91","-10.97","0","0","-","-","100.00","1.00","5.95","11.9","0","59.5","100.00","5.95","23.8","0","100.00"
"532","Angus Crookshank","N.J","C","8","68.816666666667","8.6020833333333","-18.17","13.3","-14.09","-13.03","6.22","-12.74","-12.99","3.62","-18.14","-0.95","-0.76","-2.63","-1.86","0.66","-29.52","-18.36","1.73","-27.04","-8.33","0.76","-28.56","-1.09","-0.55","-","-13.38","1.3","-25.91","0.44","0.19","7.14","-0.29","14.46","-7.68","-0.26","-0.53","-33.33","5.88","97.14","1.030","9.59","5.23","8.72","54.93","52.38","17.44","8.72","20.05","46.51"
"509","Bo Groulx","TOR","C","12","140.45","11.704166666667","-9.6","13.28","-9.35","-8.48","9.98","-10.29","-5.04","6.49","-10.10","1.35","-0.53","17.14","-0.57","0.93","-12.27","-4.87","6","-9.43","-1.27","2.68","-7.79","0.27","0.53","0.00","-4.8","4.43","-10.46","0.71","-1.79","40.00","-11.07","16.86","-13.17","0.81","0.4","0.00","19.05","93.26","1.123","2.99","15.81","9.4","47.85","24.14","7.26","21.36","20.93","25.76"
"901","Anton Frondell","CHI","C","8","108.51666666667","13.564583333333","7.48","13.12","-0.77","5.02","9.07","-0.65","2.91","7.59","-2.15","2.25","0.44","18.00","0.12","0.54","-1.55","-0.81","7.97","-4.97","-1.95","3.03","-7.43","1","0.34","11.11","1.52","6.59","-3.63","1.67","0.4","26.67","5.79","8.7","-0.20","0","-0.29","0.00","14.58","90.54","1.051","7.19","10.51","6.63","48.1","52.00","18.8","14.38","21.56","46.58"
"470","Ben Jones","MIN","C","26","214.4","8.2461538461538","-7.78","12.79","-8.11","-6.59","8.99","-8.62","-5.18","4.94","-8.86","-2","1.37","-38.82","-0.88","0.3","-11.44","-10.51","2.08","-12.50","-3.56","3.21","-14.76","-0.75","0.32","-20.51","-9.26","-1.51","-10.74","-0.98","0.51","-61.90","-5.11","19.34","-10.01","-0.74","0.97","-75.00","3.66","90.16","0.938","2.52","9.79","11.47","54.01","18.00","7.28","14.83","27.15","21.14"
"317","Caleb Jones","PIT","D","7","106.86666666667","15.266666666667","-0.21","12.44","-4.71","-2.29","4.57","-4.07","-0.88","-2.76","1.49","-0.01","-0.07","0.89","-0.06","0.58","-5.29","-0.39","7.79","-6.65","-0.73","8.58","-16.04","-0.13","0.37","-12.50","0.45","-1.06","1.81","-0.59","-0.59","0.00","-6.42","10.68","-8.68","0.81","0","100.00","9.30","93.88","1.032","4.49","8.98","8.42","47.72","34.78","11.23","15.16","20.77","35.09"
"822","Victor Mancini","VAN","D","23","301.78333333333","13.121014492754","-8.47","12.11","-9.02","-7.53","6.18","-8.73","-4.01","5.56","-8.88","-0.36","1.12","-11.30","-0.39","0.5","-8.07","-3.31","8.55","-9.77","-1.62","3.06","-9.34","-0.19","0.6","-12.61","-2.24","7.33","-9.97","-0.13","0.9","-13.46","-3.17","-1.68","-1.18","-0.1","-0.23","-11.11","8.25","87.65","0.959","8.35","7.75","5.77","51.3","59.15","16.5","10.93","15.31","51.88"
"799","Danil Zhilkin","WPG","C","6","40.666666666667","6.7777777777778","-25.65","11.99","-20.81","-18.38","0.05","-15.83","-5.59","-3.16","-4.17","0.6","-2.92","43.33","-1.62","-0.89","-13.06","-20.16","-0.53","-26.39","-6.59","-1.12","-18.36","0.7","-1.57","41.18","-18.09","0.78","-32.87","-1.5","-1.5","-50.00","-20.82","14.51","-24.18","1.48","-0.32","33.33","27.27","100.00","1.273","2.95","10.33","5.9","67.87","33.33","8.85","17.7","16.23","35.29"
"512","Adam Ginning","PHI","D","5","65.75","13.15","-13.52","11.97","-13.32","-13.68","14.39","-20.25","-12.16","7.14","-23.89","-0.63","-0.63","0.00","-1.1","0.1","-15.63","-6.97","0.12","-8.15","-6.43","-5.17","-4.59","-0.7","-1.75","-","-0.71","7.06","-9.49","0.1","1.97","-33.33","-10.26","23.81","-18.58","0","-0.51","0.00","16.67","93.75","1.104","5.48","10.04","3.65","59.32","60.00","13.69","17.34","13.69","50.00"
"332","Dennis Gilbert","OTT","D","6","68.133333333333","11.355555555556","-7.77","11.9","-8.69","-6.89","-0.3","-3.31","-0.62","0.5","-1.08","0.46","-0.08","5.56","0.07","0.06","-0.04","-8.52","14.39","-18.44","-3.88","4.69","-14.62","-0.48","-0.48","0.00","-6.18","12.93","-21.69","0.08","1.62","-26.67","-0.53","-1.36","0.64","1.27","-1.18","100.00","9.09","88.00","0.971","6.16","11.45","3.52","69.57","63.64","21.14","17.61","11.45","64.86"
"273","Jake Walman","EDM","D","49","812.03333333333","16.572108843537","0.56","11.85","-4.89","-0.73","7.15","-4.74","0.4","3.91","-3.42","0.09","0.9","-6.11","-0.29","0.48","-7.08","-2.45","8.85","-9.78","-1.2","3.6","-10.15","-0.35","-0.01","-8.35","-1.66","7","-9.49","0.22","0.91","-10.33","6.26","5.05","0.32","0.39","0.33","0.63","9.50","86.74","0.962","7.98","11.53","7.02","45.66","53.20","19.95","17.07","15.52","56.25"
"510","Adam Boqvist","NYI","D","28","340.51666666667","12.16130952381","-8.72","11.72","-8.77","-7.33","6.83","-8.47","-5.21","6.77","-11.09","-0.66","0.56","-13.44","-0.18","0.21","-3.36","-2.32","5.27","-6.51","-0.93","1.05","-3.81","-0.33","0.36","-13.93","-1.85","5.63","-8.92","-0.36","0.44","-17.14","-9.07","5.15","-7.58","-0.1","-0.18","5.56","7.20","90.71","0.979","8.28","11.1","5.29","56.91","61.04","18.68","18.68","10.92","63.10"
"631","Daemon Hunt","MIN","D","29","314.53333333333","10.845977011494","-16.01","11.7","-12.03","-12.58","5.59","-11.28","-9.04","1.79","-10.89","-1.23","-0.06","-13.94","-0.92","0.27","-11.85","-8.54","1.86","-10.10","-4.25","0.57","-11.71","-0.99","-0.5","-14.29","-5.72","1.73","-9.03","0.08","0.26","-7.86","-13.43","10.6","-12.06","-0.43","0.36","-35.00","7.92","93.21","1.011","5.72","10.3","8.39","54.75","40.54","12.59","18.69","20.22","38.37"
"778","Jonathan Lekkerimäki","VAN","R","13","127.23333333333","9.7871794871795","-15.49","11.67","-12.63","-15.13","6.51","-14.48","-11.34","5.27","-17.64","-1.09","-0.85","-4.87","-1.31","0.46","-21.54","-10.63","6.2","-17.08","-5.51","3.55","-25.89","-0.24","-0.13","-6.67","-6.83","3.54","-12.20","-0.33","-0.65","4.55","-7.96","2.59","-5.92","-0.86","-0.34","-71.43","9.68","94.29","1.040","9.43","10.37","2.83","55.65","76.92","17.92","14.62","8.49","67.86"
"684","Nils Aman","VAN","C","2","17.316666666667","8.6583333333333","-9.43","11.46","-7.89","4.9","-18.34","15.67","1.17","-18.5","19.16","2.61","0.91","25.00","-0.08","-1.48","14.06","4.69","-2.82","6.11","1.01","-3.25","9.26","0","-1.71","-","4.9","0.57","5.13","3.48","3.48","0.00","-17.86","4.54","-11.30","0","0","-","16.67","80.00","0.967","6.93","3.46","0","69.3","100.00","6.93","3.46","6.93","50.00"
"587","Victor Soderstrom","BOS","D","8","108.46666666667","13.558333333333","-10.03","11.38","-9.07","-8.35","6.14","-8.84","-7.74","-1.56","-6.16","0.6","-1.41","23.00","-0.98","0.86","-16.28","-5.87","10.64","-14.77","-3.44","2.94","-13.31","-0.36","-1.12","20.00","-3.23","10.26","-15.80","1.1","0.18","8.33","-3.85","2.23","-3.08","0.19","-0.6","50.00","15.38","95.65","1.110","9.4","10.51","6.08","47.02","60.71","22.13","16.04","14.94","59.70"
"910","Tyson Gross","CGY","C","2","17.7","8.85","-12.93","11.29","-10.91","-15.53","8.78","-14.62","-7.18","14.44","-15.45","-5.5","0.64","-66.67","-0.4","1.57","-12.41","-9.24","10.46","-17.14","-2.16","10.66","-18.40","-2.06","2.01","-60.00","-9.44","-0.27","-10.00","-4.59","-1.83","-71.43","-26.05","0.13","-21.00","0","0","-","0.00","92.86","0.929","0","13.56","10.17","64.41","0.00","3.39","23.73","20.34","14.29"
